Waktu,Pengguna,Cryptocurrency,Model AI,Status
2026-07-31 07:42:07,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-07-31 07:42:13,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-07-31 07:47:37,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-07-31 07:49:38,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-07-31 07:50:23,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-07-31 07:55:26,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-07-31 07:56:58,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-07-31 07:58:01,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-07-31 07:58:28,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-07-31 08:01:20,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-07-31 08:02:18,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-07-31 08:04:13,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-07-31 08:06:44,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-07-31 08:08:27,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-07-31 08:10:47,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-07-31 08:11:22,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-07-31 08:13:10,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-07-31 08:13:34,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-07-31 08:13:55,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-07-31 08:13:59,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-07-31 08:16:58,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-07-31 08:18:32,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-07-31 08:23:18,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-07-31 08:23:26,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-07-31 08:23:46,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-07-31 08:25:32,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-07-31 08:31:58,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-07-31 08:34:27,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-07-31 08:34:52,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-07-31 08:43:02,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-07-31 08:48:30,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-07-31 08:48:58,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-07-31 08:49:14,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-07-31 08:49:34,ZEO,Bitcoin (BTC),GRU,Sukses
2026-07-31 08:50:00,ZEO,Bitcoin (BTC),GRU,Sukses
2026-07-31 08:51:46,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-08-01 18:55:34,BARJA,Bitcoin (BTC),LSTM,Sukses
2026-08-01 18:56:03,BARJA,Bitcoin (BTC),GRU,Sukses
2026-08-01 18:56:18,BARJA,Ethereum (ETH),GRU,Sukses
2026-08-01 18:58:28,BARJA,Bitcoin (BTC),LSTM,Sukses
2026-08-01 19:01:28,BARJA,Bitcoin (BTC),LSTM,Sukses
2026-08-01 19:03:13,BARJA,Bitcoin (BTC),LSTM,Sukses
2026-08-02 00:23:34,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-08-02 00:25:24,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-08-02 00:25:29,ZEO,Bitcoin (BTC),GRU,Sukses
2026-08-02 00:26:21,ZEO,Bitcoin (BTC),ARIMA,Sukses
2026-08-02 00:27:48,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-08-02 00:27:51,ZEO,Ethereum (ETH),LSTM,Sukses
2026-08-02 00:28:23,ZEO,Ethereum (ETH),GRU,Sukses
2026-08-02 00:29:13,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-08-02 00:29:16,ZEO,Bitcoin (BTC),ARIMA,Sukses
2026-08-02 00:29:20,ZEO,Ethereum (ETH),ARIMA,Sukses
2026-08-02 00:30:04,ZEO,Ethereum (ETH),LSTM,Sukses
2026-08-02 00:30:07,ZEO,Solana (SOL),LSTM,Sukses
2026-08-02 00:30:36,ZEO,Solana (SOL),GRU,Sukses
2026-08-02 00:31:08,ZEO,Solana (SOL),ARIMA,Sukses
2026-08-06 09:41:54,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-08-06 09:42:31,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-08-06 09:42:58,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-08-06 09:43:24,ZEO,Bitcoin (BTC),GRU,Sukses
2026-08-06 09:43:42,ZEO,Bitcoin (BTC),GRU,Sukses
2026-08-06 09:44:07,ZEO,Bitcoin (BTC),ARIMA,Sukses
2026-08-06 09:44:57,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-08-06 09:45:04,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-08-06 11:17:43,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-08-06 15:11:36,ZEO,Bitcoin (BTC),LSTM,Sukses
2026-08-06 15:11:55,ZEO,Bitcoin (BTC),GRU,Sukses
2026-08-06 15:12:42,ZEO,Bitcoin (BTC),GRU,Sukses
